iso3,paese,regione,codice,nome,fonte,direzione,valore,anno,note
AUT,Austria,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
AUT,Austria,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
AUT,Austria,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
AUT,Austria,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,2.9,NA,NA
AUT,Austria,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,35.6,NA,NA
AUT,Austria,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,50,NA,NA
BEL,Belgio,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
BEL,Belgio,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
BEL,Belgio,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
BEL,Belgio,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,1.6,NA,NA
BEL,Belgio,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,37.8,NA,NA
BEL,Belgio,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,38.5,NA,NA
BGR,Bulgaria,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
BGR,Bulgaria,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
BGR,Bulgaria,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
BGR,Bulgaria,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,6.7,NA,NA
BGR,Bulgaria,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,16.7,NA,NA
BGR,Bulgaria,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,11.3,NA,NA
HRV,Croazia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
HRV,Croazia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
HRV,Croazia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
HRV,Croazia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,3.3,NA,NA
HRV,Croazia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,46.1,NA,NA
HRV,Croazia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,5.1,NA,NA
CYP,Cipro,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
CYP,Cipro,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
CYP,Cipro,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
CYP,Cipro,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,1.9,NA,NA
CYP,Cipro,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,42.1,NA,NA
CYP,Cipro,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,33.3,NA,NA
CZE,Repubblica Ceca,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
CZE,Repubblica Ceca,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
